"id"	"titre"	"chaine"	"publiee"	"duree"	"vues"
"GBcIPr_LJTE"	"Top Open-Source GitHub Projects : Ghidra, Home Assistant, LibreChat, Coder & supervision #293"	"ManuAGI - AutoGPT Tutorials"	"2026-09-19"	"PT14M3S"	"10206"
"4xAU2bHazUs"	"DeepSeek just solved LLM inferencing (again)"	"Neural Breakdown with AVB"	"2026-09-20"	"PT37M6S"	"31766"
"Quj2ysZOkFE"	"KoboldCpp: The Ollama Killer?"	"The Stack"	"2026-09-17"	"PT14M32S"	"27854"
"LLa34Tjyrvw"	"I Created Viral Paper Art Videos in 10 Minutes Using Flow AI (VERY EASY)"	"Money Mastery Hub"	"2026-07-08"	"PT7M32S"	"19618"
"hjAeveHz5eg"	"Comment j’ai créé une mini série de 20 MIN avec l’IA  Making of"	"Les Chroniques Primordiales"	"2026-09-15"	"PT31M27S"	"111"
"70jRtn3oXX4"	"Discuter en temps réel avec l'IA ! Kast 2.1 est gratuit"	"Renaud Dékode"	"2026-09-19"	"PT31M42S"	"14673"
"u2vaM7ppzuE"	"I Built the Best Free Claude Code for Local AI"	"Leon van Zyl"	"2026-09-18"	"PT14M34S"	"15183"
"ow1we5PzK-o"	"The Multi-Agent Architecture That Actually Ships — Luke Alvoeiro, Factory"	"AI Engineer"	"2026-05-06"	"PT18M31S"	"256020"
"xoizstGQ2Zk"	"L'IA laisse une trace invisible dans vos textes. Voici comment ça marche"	"Machine Learning Lab"	"2026-09-17"	"PT6M10S"	"45880"
"tV4VJpnXbPs"	"FREE 32GB VRAM Server for Running AI Models Locally"	"AI Tech"	"2026-09-16"	"PT6M30S"	"91072"
"d1zVOMM_ayw"	"Créer son premier jeu vidéo en 15 étapes"	"Malik Ammich"	"2022-01-27"	"PT22M49S"	"2022"
"q63GZn3tXFc"	"MarK 6 #ironman #marvel #tonystark"	"Mac4D"	"2023-10-19"	"PT58S"	"2769627"
"t5woMax33a4"	"Pourquoi Iron Man tape deux fois sur sa poitrine pour activer son armure ? 🤯"	"LaBobine"	"2026-09-18"	"PT1M4S"	"155083"
"UkLIb01bbX4"	"Qui utilise les 350 data centers français ?"	"Les Echos"	"2026-08-26"	"PT2M31S"	"129614"
"b7fKVsO2WdY"	" I ain't Scared of you ☠️ #ironman #tony"	"IndxKhaleesi"	"2026-09-18"	"PT1M58S"	"7629445"
"GlW4N7p5KS8"	"Subagents vs Agent Teams? 🧠 Hermes Bots, Goal Loops & Kanban Graphs"	"Wanderloots"	"2026-09-19"	"PT42M55S"	"61246"
"vVABHvARASk"	"All Iron Man Suit Up Scenes (2008 - 2019) 4K IMAX"	"XHBunny"	"2023-05-03"	"PT11M56S"	"3196140"
"xBg7SN3A_Hc"	"ON BOIRA À TA LOI (Jackwood Cover)"	"Jackwood"	"2026-02-26"	"PT3M58S"	"126"
"QONSRzoBTi4"	"La trilogie IRON MAN en 30 minutes !"	"Shawnichi"	"2025-03-28"	"PT28M55S"	"310678"
"FMhHqOkEEU4"	"Evolution of IronMan in 15 minutes"	"SamReviews"	"2026-05-10"	"PT15M2S"	"38631"
"zXr--BjUqUA"	"Why we can’t build an iron man suit in real life"	"Get Around How"	"2023-03-26"	"PT9M29S"	"643624"
"G6r5p-F6wd0"	"Être rapide comme flash c’est le pire super pouvoir de Marvel?_ À la vitesse de la lumière"	"R_Theo  graphique"	"2026-09-13"	"PT5M26S"	"300"
"LtzgAqzXAM8"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°5 # Le premier vol Iron Man"	"Vidéos Annonces"	"2020-12-27"	"PT3M42S"	"125965"
"dMJ58tTsWfw"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°10 # Le Kidnapping de Tony Stark"	"Vidéos Annonces"	"2020-12-28"	"PT4M22S"	"32132"
"VNPlolHJJMk"	"Comment fonctionne une voiture ? Les bases de l’anatomie automobile (Animation 3D)"	"CARinfo3d-Fr"	"2025-10-27"	"PT9M1S"	"97974"
"VgHDYlP4xWU"	"MOTEUR THERMIQUE : 26 PIÈCES QUE TOUT PASSIONNÉ AUTO DOIT CONNAÎTRE ! "	"Auto Meca Lab"	"2026-09-12"	"PT3M9S"	"833"
"KnNJ8wohMtY"	"La guerre des puces : qui contrÃ´lera le futur ?"	"Tout S'Explique"	"2026-09-13"	"PT20M49S"	"45"
"YjtAFiKoMV8"	"Le journal de 20h de France Télévisions - 19 septembre 2026"	"franceinfo"	"2026-09-19"	"PT31M28S"	"156456"
"Wt6hPUH3u0g"	"ALBATOR / CAPTAIN HARLOCK - La Bataille/The Battle (DAROC cover w/ distorted guitar)"	"orphantabber"	"2013-06-05"	"PT3M50S"	"1512532"
"VzTkFdTp9do"	"La bataille d'Albator The battle (Captain Harlock) full cover"	"Nym Rhosilir"	"2015-10-24"	"PT3M54S"	"241219"
"TFMe7Snj7-U"	"POLICE AVEC NOUS ! — Gilets jaunes & citoyens unis – DENIS SBAGLIA (Official Audio)"	"Denis Sbaglia"	"2026-09-17"	"PT5M11S"	"865"
"86_6BSV4EsQ"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°11 # T'es un p'tit futé Tony!"	"Vidéos Annonces"	"2020-12-29"	"PT4M10S"	"30319"
"GXG7_aqM2Qs"	"32% des boîtes virent le SaaS : L'arnaque des Agents IA (Exposé)"	"L'IA du Jour"	"2026-09-14"	"PT9M55S"	"7"
"f2D2hEFnHLU"	"Iron Man- Highway to Hell | AC/DC"	"Dyers Eve"	"2019-06-03"	"PT3M31S"	"1306746"
"S5iXxc43k6Q"	"TikTok a 10 ans : Les chiffres impressionnants du géant des réseaux sociaux"	"franceinfo"	"2026-09-20"	"PT2M52S"	"2280"
"p_b60LxbEEU"	"Un chef d'orchestre analyse des films | Science vs Fiction"	"AVRE (Explore Media)"	"2026-09-17"	"PT28M30S"	"567379"
"WZyMrj0a7yY"	"Amodei (Anthropic) : ""Arrêtez tout avant qu'elles contrôlent le net"""	"L'IA du Jour"	"2026-09-13"	"PT15M5S"	"7"
"3g8SUwCCzes"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°3 # Je suis Iron Man !"	"Vidéos Annonces"	"2020-12-26"	"PT3M38S"	"32947"
"GxWxChB0RBw"	"Iron Man / Black Sabbath - Iron Man (Soundtrack)"	"Braindead Soundtracks"	"2022-01-30"	"PT6M7S"	"788009"
